solution_id;problem_id;user_id;contest_id;filename;checksum;lang_id;check_type;posted_time;checked_time;contest_time;test_result;test_score;score;module_val;compile_error;is_passed
365076;100002;1006;3123;;bddea5f77ba580f0fba4ec02929a287a;4;F;1691745164;1691745165;249164;2;0.00;0.00;0;\nFree Pascal Compiler version 3.2.2 [2021/05/16] for x86_64\nCopyright (c) 1993-2021 by Florian Klaempfl and others\nsolution.source(1,1) Fatal: illegal character "'�'" ($D0)\nsolution.source(1,1) Fatal: Compilation aborted\nError: /usr/bin/ppcx64 returned an error exitcode\n\n\n;1
365077;100002;1006;3123;;2091a5c2e2e989fd56a3fa2fc7b2ddbb;4;F;1691745177;1691745179;249177;4;15.30;15.30;0;wrong answer expected 2625, found 8\n\nwrong answer expected 1992, found 136\n\nwrong answer expected 0, found 88\n\nwrong answer expected 819, found 189\n\nwrong answer expected 744, found 189\n\nwrong answer expected 1312, found 32\n\nwrong answer expected 2688, found 110\n\nwrong answer expected 648, found 136\n\nwrong answer expected 3384, found 80\n\nwrong answer expected 744, found 0\n\nwrong answer expected 648, found 136\n\nwrong answer expected 0, found 42\n\nwrong answer expected 819, found 110\n\nwrong answer expected 4275, found 0\n\nwrong answer expected 2511, found 0\n\nwrong answer expected 1656, found 110\n\nwrong answer expected 704, found 136\n\nwrong answer expected 1656, found 0\n\nwrong answer expected 3384, found 241\n\nwrong answer expected 648, found 0\n\nwrong answer expected 1134, found 0\n\nwrong answer expected 366, found 0\n\nwrong answer expected 3384, found 72\n\nwrong answer expected 520, found 8\n\nwrong answer expected 1536, found 0\n\nwrong answer expected 1312, found 0\n\nwrong answer expected 1536, found 93\n\nwrong answer expected 2688, found 0\n\nwrong answer expected 366, found 110\n\nwrong answer expected 744, found 0\n\nwrong answer expected 1533, found 255\n\nwrong answer expected 1656, found 120\n\nwrong answer expected 1536, found 164\n\nwrong answer expected 1134, found 0\n\nwrong answer expected 2688, found 0\n\nwrong answer expected 192, found 0\n\nwrong answer expected 366, found 95\n\nwrong answer expected 2511, found 51\n\nwrong answer expected 366, found 110\n\nwrong answer expected 2511, found 189\n\nwrong answer expected 1992, found 0\n\nwrong answer expected 1992, found 88\n\nwrong answer expected 795, found 0\n\nwrong answer expected 2511, found 93\n\nwrong answer expected 744, found 0\n\nwrong answer expected 1992, found 0\n\nwrong answer expected 1536, found 255\n\nwrong answer expected 819, found 51\n\nwrong answer expected 819, found 51\n\nwrong answer expected 1008, found 72\n\nwrong answer expected 1656, found 0\n\nwrong answer expected 1533, found 0\n\nwrong answer expected 1008, found 0\n\nwrong answer expected 1656, found 164\n\nwrong answer expected 1533, found 42\n\nwrong answer expected 1312, found 110\n\nwrong answer expected 4275, found 0\n\nwrong answer expected 1533, found 11\n\nwrong answer expected 366, found 51\n\nwrong answer expected 1312, found 0\n\nwrong answer expected 648, found 0\n\nwrong answer expected 1950, found 0\n\nwrong answer expected 366, found 0\n\nwrong answer expected 744, found 41\n\nwrong answer expected 819, found 255\n\nwrong answer expected 648, found 95\n\nwrong answer expected 3384, found 110\n\nwrong answer expected 1656, found 241\n\nwrong answer expected 497, found 241\n\nwrong answer expected 0, found 51\n\nwrong answer expected 819, found 51\n\nwrong answer expected 1312, found 32\n\nwrong answer expected 3192, found 110\n\nwrong answer expected 497, found 0\n\nwrong answer expected 2072, found 0\n\nwrong answer expected 7056, found 42\n\nwrong answer expected 0, found 110\n\nwrong answer expected 744, found 0\n\nwrong answer expected 648, found 136\n\nwrong answer expected 3384, found 136\n\nwrong answer expected 819, found 51\n\nwrong answer expected 497, found 241\n\nwrong answer expected 0, found 255\n\n\n;1
365079;100002;1006;3123;;fb29bf4a81402cb6e672ee8aed373c1d;4;F;1691745204;1691745206;249204;4;83.70;83.70;0;wrong answer expected 4275, found 8019\n\nwrong answer expected 648, found 5632\n\nwrong answer expected 3384, found 704\n\nwrong answer expected 1536, found 704\n\nwrong answer expected 1533, found 3773\n\nwrong answer expected 366, found 11\n\nwrong answer expected 7056, found 8019\n\n\n;1
365082;100002;1006;3123;;2c372e5e736a5b8cc04c9011a5736c6a;4;F;1691745285;1691745286;249285;4;70.20;70.20;0;wrong answer expected 4275, found 0\n\nwrong answer expected 1656, found 0\n\nwrong answer expected 704, found 0\n\nwrong answer expected 648, found 0\n\nwrong answer expected 3384, found 0\n\nwrong answer expected 1536, found 0\n\nwrong answer expected 2688, found 0\n\nwrong answer expected 11, found 0\n\nwrong answer expected 192, found 0\n\nwrong answer expected 366, found 0\n\nwrong answer expected 795, found 0\n\nwrong answer expected 1536, found 0\n\nwrong answer expected 42, found 0\n\nwrong answer expected 1533, found 0\n\nwrong answer expected 1533, found 0\n\nwrong answer expected 4275, found 0\n\nwrong answer expected 1533, found 0\n\nwrong answer expected 366, found 0\n\nwrong answer expected 1950, found 0\n\nwrong answer expected 366, found 0\n\nwrong answer expected 3192, found 0\n\nwrong answer expected 7056, found 0\n\n\n;1
365085;100002;1006;3123;;fb29bf4a81402cb6e672ee8aed373c1d;4;F;1691745314;1691745316;249314;4;83.70;83.70;0;wrong answer expected 4275, found 8019\n\nwrong answer expected 648, found 5632\n\nwrong answer expected 3384, found 704\n\nwrong answer expected 1536, found 704\n\nwrong answer expected 1533, found 3773\n\nwrong answer expected 366, found 11\n\nwrong answer expected 7056, found 8019\n\n\n;1
365099;100002;1006;3123;;9a1d7f37b9b3e25f1219110432868d28;4;F;1691745500;1691745501;249500;0;100.00;100.00;0;NULL;1
365174;100004;1006;3123;;76dbc0319783c805edcd9774ecf7aa3d;4;F;1691747992;1691747994;251992;8;0.00;0.00;0;wrong output format Expected integer, but "2.3200000000000000E+002" found\n\nwrong output format Expected integer, but "2.4200000000000000E+002" found\n\nwrong output format Expected integer, but "1.5700000000000000E+002" found\n\nwrong output format Expected integer, but "4.4900000000000000E+002" found\n\nwrong output format Expected integer, but "1.3200000000000000E+002" found\n\nwrong output format Expected integer, but "3.4100000000000000E+002" found\n\nwrong output format Expected integer, but "2.1400000000000000E+002" found\n\nwrong output format Expected integer, but "2.1400000000000000E+002" found\n\nwrong output format Expected integer, but "5.7900000000000000E+002" found\n\nwrong output format Expected integer, but "5.7100000000000000E+002" found\n\nwrong output format Expected integer, but "3.5300000000000000E+002" found\n\nwrong output format Expected integer, but "9.0100000000000000E+002" found\n\nwrong output format Expected integer, but "4.0600000000000000E+002" found\n\nwrong output format Expected integer, but "3.0600000000000000E+002" found\n\nwrong output format Expected integer, but "1.8100000000000000E+002" found\n\nwrong output format Expected integer, but "7.6100000000000000E+002" found\n\nwrong output format Expected integer, but "1.1500000000000000E+002" found\n\nwrong output format Expected integer, but "3.2800000000000000E+002" found\n\nwrong output format Expected integer, but "3.5300000000000000E+002" found\n\nwrong output format Expected integer, but "1.8500000000000000E+002" found\n\nwrong output format Expected integer, but "2.3600000000000000E+002" found\n\nwrong output format Expected integer, but "3.6700000000000000E+002" found\n\nwrong output format Expected integer, but "9.8000000000000000E+002" found\n\nwrong output format Expected integer, but "2.7400000000000000E+002" found\n\nwrong output format Expected integer, but "1.6700000000000000E+002" found\n\nwrong output format Expected integer, but "7.8600000000000000E+002" found\n\nwrong output format Expected integer, but "2.5600000000000000E+002" found\n\nwrong output format Expected integer, but "3.9500000000000000E+002" found\n\nwrong output format Expected integer, but "7.0000000000000000E+001" found\n\nwrong output format Expected integer, but "2.3200000000000000E+002" found\n\nwrong output format Expected integer, but "3.8800000000000000E+002" found\n\nwrong output format Expected integer, but "4.4900000000000000E+002" found\n\nwrong output format Expected integer, but "3.6700000000000000E+002" found\n\nwrong output format Expected integer, but "5.7100000000000000E+002" found\n\nwrong output format Expected integer, but "3.2100000000000000E+002" found\n\nwrong output format Expected integer, but "5.1000000000000000E+001" found\n\nwrong output format Expected integer, but "2.9700000000000000E+002" found\n\nwrong output format Expected integer, but "3.3800000000000000E+002" found\n\nwrong output format Expected integer, but "8.7900000000000000E+002" found\n\nwrong output format Expected integer, but "2.3500000000000000E+002" found\n\nwrong output format Expected integer, but "2.7100000000000000E+002" found\n\nwrong output format Expected integer, but "1.5700000000000000E+002" found\n\nwrong output format Expected integer, but "2.6500000000000000E+002" found\n\nwrong output format Expected integer, but "2.3100000000000000E+002" found\n\nwrong output format Expected integer, but "4.7900000000000000E+002" found\n\nwrong output format Expected integer, but "4.3800000000000000E+002" found\n\nwrong output format Expected integer, but "4.5600000000000000E+002" found\n\nwrong output format Expected integer, but "1.6700000000000000E+002" found\n\nwrong output format Expected integer, but "3.3300000000000000E+002" found\n\nwrong output format Expected integer, but "8.7200000000000000E+002" found\n\nwrong output format Expected integer, but "4.3100000000000000E+002" found\n\nwrong output format Expected integer, but "1.4200000000000000E+002" found\n\nwrong output format Expected integer, but "4.2700000000000000E+002" found\n\nwrong output format Expected integer, but "2.8900000000000000E+002" found\n\nwrong output format Expected integer, but "4.3800000000000000E+002" found\n\nwrong output format Expected integer, but "4.2100000000000000E+002" found\n\nwrong output format Expected integer, but "3.6700000000000000E+002" found\n\nwrong output format Expected integer, but "1.0700000000000000E+002" found\n\nwrong output format Expected integer, but "2.6000000000000000E+002" found\n\nwrong output format Expected integer, but "2.4200000000000000E+002" found\n\nwrong output format Expected integer, but "1.2100000000000000E+002" found\n\nwrong output format Expected integer, but "2.9600000000000000E+002" found\n\nwrong output format Expected integer, but "5.8200000000000000E+002" found\n\nwrong output format Expected integer, but "6.0600000000000000E+002" found\n\nwrong output format Expected integer, but "7.3300000000000000E+002" found\n\nwrong output format Expected integer, but "4.7200000000000000E+002" found\n\nwrong output format Expected integer, but "2.2800000000000000E+002" found\n\nwrong output format Expected integer, but "2.5600000000000000E+002" found\n\nwrong output format Expected integer, but "1.3200000000000000E+002" found\n\nwrong output format Expected integer, but "2.4900000000000000E+002" found\n\nwrong output format Expected integer, but "3.2100000000000000E+002" found\n\nwrong output format Expected integer, but "7.6300000000000000E+002" found\n\n(truncated report)\n\n;1
365177;100004;1006;3123;;4521a19da55d03cecac96219ef914395;4;F;1691748037;1691748039;252037;4;0.00;0.00;0;wrong answer expected 18, found 232\n\nwrong answer expected 62, found 242\n\nwrong answer expected 15, found 157\n\nwrong answer expected 79, found 449\n\nwrong answer expected 14, found 132\n\nwrong answer expected -1, found 341\n\nwrong answer expected 26, found 214\n\nwrong answer expected 26, found 214\n\nwrong answer expected -1, found 579\n\nwrong answer expected -1, found 571\n\nwrong answer expected 49, found 353\n\nwrong answer expected -1, found 901\n\nwrong answer expected 86, found 406\n\nwrong answer expected 82, found 306\n\nwrong answer expected -1, found 181\n\nwrong answer expected -1, found 761\n\nwrong answer expected -1, found 115\n\nwrong answer expected 48, found 328\n\nwrong answer expected 49, found 353\n\nwrong answer expected 51, found 185\n\nwrong answer expected -1, found 236\n\nwrong answer expected 67, found 367\n\nwrong answer expected -1, found 980\n\nwrong answer expected 72, found 274\n\nwrong answer expected -1, found 167\n\nwrong answer expected -1, found 786\n\nwrong answer expected 80, found 256\n\nwrong answer expected -1, found 395\n\nwrong answer expected -1, found 70\n\nwrong answer expected 18, found 232\n\nwrong answer expected 94, found 388\n\nwrong answer expected 79, found 449\n\nwrong answer expected 67, found 367\n\nwrong answer expected -1, found 571\n\nwrong answer expected 39, found 321\n\nwrong answer expected -1, found 51\n\nwrong answer expected -1, found 297\n\nwrong answer expected 92, found 338\n\nwrong answer expected -1, found 879\n\nwrong answer expected 53, found 235\n\nwrong answer expected -1, found 271\n\nwrong answer expected 15, found 157\n\nwrong answer expected -1, found 265\n\nwrong answer expected -1, found 231\n\nwrong answer expected -1, found 479\n\nwrong answer expected 96, found 438\n\nwrong answer expected 88, found 456\n\nwrong answer expected -1, found 167\n\nwrong answer expected -1, found 333\n\nwrong answer expected -1, found 872\n\nwrong answer expected 87, found 431\n\nwrong answer expected -1, found 142\n\nwrong answer expected -1, found 427\n\nwrong answer expected 29, found 289\n\nwrong answer expected 96, found 438\n\nwrong answer expected -1, found 421\n\nwrong answer expected 67, found 367\n\nwrong answer expected 13, found 107\n\nwrong answer expected 54, found 260\n\nwrong answer expected 62, found 242\n\nwrong answer expected 31, found 121\n\nwrong answer expected 38, found 296\n\nwrong answer expected -1, found 582\n\nwrong answer expected -1, found 606\n\nwrong answer expected -1, found 733\n\nwrong answer expected -1, found 472\n\nwrong answer expected 44, found 228\n\nwrong answer expected 80, found 256\n\nwrong answer expected 14, found 132\n\nwrong answer expected 71, found 249\n\nwrong answer expected 39, found 321\n\nwrong answer expected -1, found 763\n\nwrong answer expected 55, found 285\n\nwrong answer expected -1, found 3484\n\nwrong answer expected 96, found 438\n\nwrong answer expected 35, found 221\n\nwrong answer expected 27, found 239\n\nwrong answer expected 91, found 313\n\nwrong answer expected 56, found 310\n\nwrong answer expected -1, found 354\n\nwrong answer expected -1, found 444\n\nwrong answer expected -1, found 944\n\nwrong answer expected 63, found 267\n\nwrong answer expected 60, found 192\n\nwrong answer expected -1, found 419\n\nwrong answer expected 41, found 153\n\nwrong answer expected 52, found 210\n\nwrong answer expected -1, found 472\n\nwrong answer expected -1, found 190\n\nwrong answer expected 44, found 228\n\nwrong answer expected 85, found 381\n\nwrong answer expected -1, found 524\n\nwrong answer expected 56, found 310\n\nwrong answer expected -1, found 800\n\nwrong answer expected 66, found 342\n\nwrong answer expected 46, found 278\n\nwrong answer expected 71, found 249\n\nwrong answer expected 84, found 356\n\nwrong answer expected -1, found 184\n\nwrong answer expected 66, found 342\n\nwrong answer expected 67, found 367\n\nwrong answer expected -1, found 462\n\nwrong answer expected 78, found 424\n\nwrong answer expected -1, found 664\n\nwrong answer expected -1, found 530\n\nwrong answer expected 68, found 392\n\nwrong answer expected -1, found 454\n\nwrong answer expected -1, found 772\n\nwrong answer expected -1, found 763\n\nwrong answer expected -1, found 462\n\nwrong answer expected 74, found 324\n\nwrong answer expected 52, found 210\n\nwrong answer expected -1, found 959\n\nwrong answer expected 14, found 132\n\nwrong answer expected 80, found 256\n\nwrong answer expected -1, found 335\n\nwrong answer expected 37, found 271\n\nwrong answer expected 48, found 328\n\nwrong answer expected -1, found 497\n\nwrong answer expected -1, found 959\n\nwrong answer expected 96, found 438\n\nwrong answer expected 82, found 306\n\nwrong answer expected 48, found 328\n\nwrong answer expected 28, found 264\n\nwrong answer expected -1, found 277\n\nwrong answer expected -1, found 1033\n\nwrong answer expected -1, found 277\n\nwrong answer expected 88, found 456\n\nwrong answer expected -1, found 930\n\nwrong answer expected 50, found 160\n\nwrong answer expected -1, found 408\n\nwrong answer expected 58, found 360\n\nwrong answer expected 76, found 374\n\nwrong answer expected 82, found 306\n\nwrong answer expected 32, found 146\n\nwrong answer expected 18, found 232\n\nwrong answer expected -1, found 5798\n\nwrong answer expected -1, found 721\n\nwrong answer expected -1, found 458\n\nwrong answer expected 22, found 114\n\nwrong answer expected -1, found 771\n\nwrong answer expected 60, found 192\n\nwrong answer expected 75, found 349\n\nwrong answer expected 20, found 64\n\nwrong answer expected 50, found 160\n\nwrong answer expected 87, found 431\n\n(truncated report)\n\n;1
365186;100004;1006;3123;;7fb990b26b6e3fcc1adf0f3d8ae43cbd;4;F;1691748258;1691748260;252258;4;52.20;52.20;0;wrong answer expected -1, found 14\n\nwrong answer expected -1, found -491\n\nwrong answer expected -1, found 161\n\nwrong answer expected -1, found -932\n\nwrong answer expected -1, found 15\n\nwrong answer expected -1, found 249\n\nwrong answer expected -1, found 12\n\nwrong answer expected -1, found 43\n\nwrong answer expected -1, found 327\n\nwrong answer expected -1, found 31\n\nwrong answer expected -1, found 170\n\nwrong answer expected -1, found 138\n\nwrong answer expected -1, found -84\n\nwrong answer expected -1, found 161\n\nwrong answer expected -1, found -32\n\nwrong answer expected -1, found 90\n\nwrong answer expected -1, found 261\n\nwrong answer expected -1, found 71\n\nwrong answer expected -1, found 62\n\nwrong answer expected -1, found 79\n\nwrong answer expected -1, found 150\n\nwrong answer expected -1, found 31\n\nwrong answer expected -1, found 118\n\nwrong answer expected -1, found 190\n\nwrong answer expected -1, found -55\n\nwrong answer expected -1, found 130\n\nwrong answer expected -1, found 121\n\nwrong answer expected -1, found 189\n\nwrong answer expected -1, found 190\n\nwrong answer expected -1, found 291\n\nwrong answer expected -1, found 62\n\nwrong answer expected -1, found 266\n\nwrong answer expected -1, found 1430\n\nwrong answer expected -1, found 39\n\nwrong answer expected -1, found 121\n\nwrong answer expected -1, found 264\n\nwrong answer expected -1, found 103\n\nwrong answer expected -1, found 175\n\nwrong answer expected -1, found 42\n\nwrong answer expected -1, found 160\n\nwrong answer expected -1, found 205\n\nwrong answer expected -1, found 23\n\nwrong answer expected -1, found 158\n\nwrong answer expected -1, found 235\n\nwrong answer expected -1, found 152\n\nwrong answer expected -1, found 149\n\nwrong answer expected -1, found 249\n\nwrong answer expected -1, found 283\n\nwrong answer expected -1, found 158\n\nwrong answer expected -1, found 334\n\nwrong answer expected -1, found 109\n\nwrong answer expected -1, found 203\n\nwrong answer expected -1, found 334\n\nwrong answer expected -1, found 80\n\nwrong answer expected -1, found 302\n\nwrong answer expected -1, found 80\n\nwrong answer expected -1, found 298\n\nwrong answer expected -1, found 138\n\nwrong answer expected -1, found 2490\n\nwrong answer expected -1, found 229\n\nwrong answer expected -1, found 95\n\nwrong answer expected -1, found 213\n\nwrong answer expected -1, found 197\n\n\n;1
362166;100002;18365;3123;;e8cd54413c80bacfdec548bd7a56f517;12;F;1691571906;1691571909;75906;0;100.00;100.00;0;NULL;1
